clothing_id,product_name,rating,review_text,recommended_ind,positive_feedback_count,class_name
85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,Absolutely gorgeous item! Exceeded my expectations.,1,6,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,"Great purchase, looks amazing and very comfortable to wear.",1,6,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,"High quality fabric, beautiful color, would definitely buy again!",1,7,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,Absolutely gorgeous item! Exceeded my expectations.,1,7,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,"High quality fabric, beautiful color, would definitely buy again!",1,4,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,"Great purchase, looks amazing and very comfortable to wear.",1,5,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,"Great purchase, looks amazing and very comfortable to wear.",1,4,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,Love this product! The quality is fantastic and fits perfectly.,1,9,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,Absolutely gorgeous item! Exceeded my expectations.,1,8,General
85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,Love this product! The quality is fantastic and fits perfectly.,1,9,General
71053,WHITE METAL LANTERN,4,"Excellent item, super fast delivery and true to size.",1,3,General
71053,WHITE METAL LANTERN,4,Love this product! The quality is fantastic and fits perfectly.,1,4,General
71053,WHITE METAL LANTERN,4,"High quality fabric, beautiful color, would definitely buy again!",1,4,General
71053,WHITE METAL LANTERN,4,Love this product! The quality is fantastic and fits perfectly.,1,1,General
71053,WHITE METAL LANTERN,4,"Excellent item, super fast delivery and true to size.",1,1,General
84406B,CREAM CUPID HEARTS COAT HANGER,5,"Great purchase, looks amazing and very comfortable to wear.",1,6,General
84406B,CREAM CUPID HEARTS COAT HANGER,4,"Excellent item, super fast delivery and true to size.",1,7,General
84406B,CREAM CUPID HEARTS COAT HANGER,5,"High quality fabric, beautiful color, would definitely buy again!",1,0,General
84406B,CREAM CUPID HEARTS COAT HANGER,5,"Excellent item, super fast delivery and true to size.",1,7,General
84406B,CREAM CUPID HEARTS COAT HANGER,5,"Excellent item, super fast delivery and true to size.",1,5,General
84406B,CREAM CUPID HEARTS COAT HANGER,5,"Great purchase, looks amazing and very comfortable to wear.",1,5,General
84406B,CREAM CUPID HEARTS COAT HANGER,4,Absolutely gorgeous item! Exceeded my expectations.,1,1,General
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,Not worth the money. Very expensive for such basic quality.,0,3,General
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,Not worth the money. Very expensive for such basic quality.,0,7,General
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,Not worth the money. Very expensive for such basic quality.,0,8,General
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,Not worth the money. Very expensive for such basic quality.,0,1,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,"Great purchase, looks amazing and very comfortable to wear.",1,8,General
